f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f_sideSquare,teacher,current_eval,game_idx,move_idx
2,1,2,42,0,14,0,3,12,3,0,14,4,308892.250,325662,0,4050
2,0,1,45,0,6,0,3,5,2,0,6,3,283325.450,268274,0,4100
3,1,7,48,0,18,0,4,14,5,0,14,11,400054.450,422312,0,4150
2,1,6,46,0,11,1,4,8,4,3,17,11,359397.900,387043,0,4200
4,3,5,47,0,10,1,2,13,1,1,8,12,358719.300,354141,0,4250
4,0,3,42,0,9,0,1,16,3,0,2,19,318348.150,319553,0,4300
1,0,3,46,0,4,1,1,10,2,6,2,3,286128.700,283758,0,4350
2,1,1,40,0,9,1,4,10,2,1,15,2,314418.950,291745,0,4400
2,2,2,48,0,12,1,4,10,4,3,14,2,365096.950,349323,0,4450
3,3,7,48,0,14,1,2,16,1,3,2,14,370442.400,375113,0,4500
2,1,3,45,0,4,0,2,7,3,0,7,6,301474.900,291645,0,4550
0,0,2,39,0,0,1,2,7,0,5,7,0,253138.150,230586,0,4600
1,1,1,45,0,7,1,2,5,2,1,5,1,285626.850,263941,0,4650
4,10,5,51,0,19,1,3,13,5,1,18,14,436772.200,448716,0,4700
3,3,4,47,0,7,1,2,9,0,1,5,11,339576.450,316557,0,4750
3,2,0,49,0,9,1,2,7,3,1,5,4,296822.250,296709,0,4800
2,3,9,44,0,13,1,2,12,2,2,10,8,375455.200,373581,0,4850
3,1,3,40,0,10,0,2,10,1,0,11,8,306349.250,301567,0,4900
3,2,4,43,0,9,1,3,5,1,2,12,8,310916.650,317829,0,4950
2,1,1,43,0,1,1,3,1,0,2,10,4,273473.350,250383,0,5000
2,1,2,46,0,5,1,1,8,2,3,5,6,305797.150,288593,0,5050
2,2,1,40,0,6,0,2,10,4,0,8,8,273281.600,277950,0,5100
3,8,2,48,0,20,1,3,12,2,6,12,9,377162.400,383704,0,5150
4,0,4,48,0,7,1,0,12,1,2,0,12,317316.600,315963,0,5200
2,1,8,44,0,12,1,4,16,7,6,22,5,393619.450,426410,0,5250
2,4,7,45,0,12,1,4,9,2,3,14,7,358530.300,371173,0,5300
2,1,2,40,0,11,0,3,12,2,0,16,2,312136.050,307515,0,5350
1,5,4,50,0,11,1,3,8,4,5,10,8,362742.650,367338,0,5400
2,2,7,42,0,8,1,2,14,0,3,10,11,337677.250,342139,0,5450
1,3,5,42,0,5,1,3,14,0,5,14,2,327141.650,318620,0,5500
3,3,9,42,0,10,0,2,10,3,0,11,14,372377.050,369527,0,5550
3,1,1,37,0,4,0,1,9,1,0,6,12,249384.100,249128,0,5600
3,0,4,48,0,10,1,2,8,2,8,5,4,323459.250,329675,0,5650
3,0,3,40,0,8,1,3,10,2,2,18,6,317622.700,320894,0,5700
3,1,3,47,0,7,1,2,7,0,2,4,9,315245.450,299957,0,5750
2,2,3,54,0,20,1,3,12,6,2,10,6,394433.700,407424,0,5800
2,0,8,49,0,6,1,1,5,4,1,4,8,350521.200,342487,0,5850
2,0,3,43,0,10,1,3,9,2,1,8,3,305980.700,298163,0,5900
2,3,5,44,0,9,1,2,18,0,2,8,10,328304.800,338511,0,5950
3,1,3,40,0,7,0,3,8,4,0,14,3,303478.250,300287,0,6000
1,1,0,47,0,11,1,3,11,4,2,5,4,310076.350,302904,0,6050
2,3,6,48,0,11,1,1,12,0,6,1,9,347356.250,339576,0,6100
2,1,0,44,0,3,1,0,6,2,2,0,5,266849.650,237881,0,6150
3,2,10,46,0,16,1,2,14,4,7,12,9,387434.900,424343,0,6200
3,3,3,44,0,16,0,3,8,1,0,12,4,328816.350,328828,0,6250
4,2,2,56,0,14,0,2,12,4,0,2,11,357454.700,370876,0,6300
2,1,6,44,0,6,1,3,8,3,2,11,10,339214.050,338515,0,6350
2,0,1,40,0,9,0,3,8,1,0,11,4,299512.950,273296,0,6400
3,1,5,44,0,12,1,3,10,1,3,11,12,340838.750,351710,0,6450
3,2,2,50,0,8,1,2,16,4,2,4,13,363803.650,347484,0,6500
2,1,5,52,0,13,1,3,8,4,3,11,3,367806.050,377223,0,6550
3,2,0,45,0,11,0,3,11,1,0,8,7,317876.650,298869,0,6600
1,5,5,45,0,9,1,3,17,2,7,10,1,315405.550,344724,0,6650
1,0,3,38,0,9,1,3,8,1,1,12,3,285377.350,278996,0,6700
0,0,2,38,0,5,1,4,12,1,3,15,0,297146.750,274865,0,6750
4,7,2,59,0,25,0,4,13,4,0,10,12,426614.050,446289,0,6800
3,0,6,47,0,7,1,3,9,5,1,11,11,359904.300,364305,0,6850
3,2,4,48,0,15,0,3,8,3,0,10,6,356731.350,354617,0,6900
3,3,5,53,0,19,1,4,9,4,2,9,10,399616.900,409012,0,6950
3,3,7,45,0,13,0,3,13,2,0,9,12,366457.600,370508,0,7000
3,1,7,49,0,16,0,4,9,5,0,9,11,403497.150,397217,0,7050
4,1,1,52,0,3,0,0,8,2,0,0,12,310717.550,296871,0,7100
2,0,2,46,0,6,1,2,6,0,1,2,7,290807.950,270903,0,7150
3,4,2,60,0,24,1,4,10,4,5,7,8,442261.150,430854,0,7200
4,0,6,43,0,9,1,2,13,3,1,13,12,350527.000,360751,0,7250
1,1,0,43,0,12,0,3,7,1,0,6,2,293313.550,266156,0,7300
3,2,4,52,0,13,1,1,12,3,1,1,11,359127.850,356583,0,7350
3,2,2,45,0,4,1,3,9,2,2,12,11,331790.050,316814,0,7400
3,0,5,46,0,17,1,4,8,1,1,10,12,352961.300,364486,0,7450
2,2,3,47,0,20,1,3,13,2,1,11,9,354107.750,371966,0,7500
3,3,2,43,0,15,1,3,9,2,2,8,8,325966.450,319485,0,7550
3,3,4,52,0,20,0,2,12,3,0,7,6,383691.750,383261,0,7600
4,3,1,51,0,15,0,3,9,6,0,8,11,363149.300,366029,0,7650
4,5,5,48,0,12,0,2,12,3,0,8,13,365244.400,370154,0,7700
3,2,3,46,0,8,1,3,4,2,1,10,7,339634.400,313843,0,7750
1,1,5,41,0,7,1,4,11,2,2,18,2,325403.350,328251,0,7800
3,1,0,45,0,1,1,1,5,0,1,3,6,268120.700,240313,0,7850
