game_idx,move_idx,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f_sideSquare,current_eval,n_rollouts,s10,s25,s50,s100,s200,s500,s1000,s1500
2,10000,1,1,2,40,0,5,0,4,6,4,0,15,1,282124,200,200,200,200,200,200,200,198,195
3,500,2,1,1,48,0,13,1,2,12,4,2,8,3,328651,200,200,200,200,200,200,200,197,197
3,1000,1,3,1,53,0,14,1,4,11,3,5,7,2,349664,200,200,200,200,200,200,199,197,194
3,1500,2,0,4,46,0,8,1,3,6,2,1,11,5,320596,200,200,200,199,199,199,197,195,193
3,2000,2,5,4,42,0,6,1,2,12,1,1,12,9,317515,200,200,200,200,200,198,196,194,191
3,2500,3,0,3,47,0,5,0,0,13,5,0,0,15,316187,200,200,200,200,200,200,199,197,196
3,3000,3,6,8,49,0,21,1,3,19,3,2,11,15,447334,200,199,199,199,199,198,196,194,192
3,3500,4,2,5,47,0,11,1,3,9,3,1,11,15,372059,200,200,200,200,200,200,199,197,193
3,4000,1,0,1,41,0,5,1,2,7,3,1,10,1,262560,200,200,200,200,200,198,196,196,194
3,4500,4,3,11,56,0,22,0,3,10,9,0,15,11,505737,200,199,199,199,199,198,197,196,195
3,5000,2,1,0,46,0,9,1,2,8,2,2,8,4,290675,200,200,200,200,200,199,199,197,194
3,5500,0,0,4,36,0,3,0,3,6,3,0,14,0,260831,200,200,200,200,200,200,200,198,195
3,6000,2,3,2,44,0,11,1,3,6,2,1,16,5,323518,200,200,200,199,199,199,194,192,187
3,6500,4,1,3,53,0,10,1,2,11,3,4,2,10,352352,200,200,200,199,199,199,199,196,195
3,7000,1,0,1,42,0,3,1,3,8,1,5,7,1,254819,200,200,200,200,200,200,198,197,194
3,7500,3,2,5,50,0,13,1,3,14,5,3,14,4,395448,200,200,200,200,200,200,198,193,192
3,8000,1,0,3,40,0,5,0,2,6,1,0,2,7,248295,200,200,200,200,199,198,198,198,196
3,8500,3,3,1,54,0,14,1,2,10,5,2,5,9,363055,200,200,200,200,200,200,198,197,190
3,9000,2,3,9,45,0,12,1,4,11,5,1,20,8,414627,200,200,200,200,200,200,197,194,190
3,9500,4,1,0,48,0,8,0,2,6,3,0,6,6,293908,200,200,200,200,199,199,197,193,190
3,10000,4,1,6,53,0,12,1,3,7,3,1,9,15,397754,200,200,200,200,200,200,198,196,195
4,500,4,0,1,40,0,8,1,2,12,0,1,5,13,277566,200,200,200,200,200,199,198,195,193
4,1000,1,4,6,43,0,9,1,2,15,1,2,9,3,326892,200,200,199,199,199,199,197,194,192
4,1500,3,1,5,42,0,13,1,2,10,2,2,9,14,344212,200,200,200,200,200,199,197,196,194
4,2000,1,0,0,46,0,5,1,2,6,3,3,4,3,265306,200,200,199,199,199,198,198,197,195
4,2500,4,1,1,45,0,12,0,2,9,1,0,7,8,303381,200,200,200,200,199,199,199,199,199
4,3000,3,1,4,38,0,10,0,4,10,3,0,14,13,326996,200,200,200,200,200,200,197,195,193
4,3500,1,1,3,49,0,13,1,3,13,4,6,8,3,353935,200,200,200,200,200,199,198,194,191
4,4000,3,5,2,48,0,9,1,4,4,2,2,16,10,347357,200,200,200,200,200,200,199,198,193
4,4500,2,1,5,49,0,14,1,3,11,3,2,9,8,370739,200,200,200,199,199,199,197,195,195
4,5000,2,0,1,50,0,8,1,2,8,2,3,2,2,291031,200,200,200,199,199,199,199,198,195
4,5500,2,2,3,44,0,8,1,3,6,2,1,10,4,301137,200,200,200,200,200,199,197,193,193
4,6000,1,1,2,36,0,1,1,2,8,0,2,13,4,245140,200,200,200,200,200,198,197,195,193
4,6500,2,1,0,47,0,10,1,2,7,1,2,3,2,273293,200,200,200,200,200,200,196,195,193
4,7000,1,1,2,41,0,12,1,3,11,3,2,12,3,308032,200,200,200,200,200,198,194,191,191
4,7500,3,0,2,43,0,6,1,2,11,0,2,2,12,279398,200,200,200,199,199,199,198,195,195
4,8000,3,0,0,46,0,4,1,2,2,2,1,6,4,259787,200,200,200,200,200,200,198,196,193
4,8500,3,5,10,51,0,17,1,3,19,4,4,11,10,454730,200,200,200,200,199,199,195,191,185
4,9000,1,1,3,46,0,8,1,2,12,1,7,2,3,297623,200,200,200,200,200,199,198,194,192
4,9500,3,0,3,44,0,16,1,2,12,2,1,11,5,337582,200,200,200,200,200,199,199,196,193
4,10000,3,0,4,49,0,8,1,2,11,4,1,2,13,338445,200,200,200,200,200,200,199,198,197
